datetime,Prediction
2020-02-20 18:43:25,[112.88911]
2020-02-20 21:13:25,[117.20716]
2020-02-20 22:33:25,[114.701065]
2020-02-20 22:38:25,[121.86461]
2020-02-20 22:43:25,[123.917305]
2020-02-20 22:48:25,[127.37503]
2020-02-20 22:53:24,[129.19775]
2020-02-20 22:58:25,[112.69242]
2020-02-20 23:03:25,[129.16531]
2020-02-20 23:08:25,[122.05997]
2020-02-20 23:13:24,[123.87677]
2020-02-20 23:18:25,[125.7126]
2020-02-20 23:23:25,[120.67133]
2020-02-20 23:28:25,[122.826355]
2020-02-20 23:33:25,[126.18234]
2020-02-20 23:38:25,[122.94677]
2020-02-20 23:43:25,[127.99778]
2020-02-20 23:48:25,[78.36887]
2020-02-20 23:53:24,[82.02487]
2020-02-20 23:58:25,[120.24221]
2020-02-21 00:03:25,[127.25158]
2020-02-21 00:08:25,[127.867424]
2020-02-21 00:13:25,[116.51731]
2020-02-21 00:18:25,[119.541145]
2020-02-21 00:23:24,[126.02612]
2020-02-21 00:28:25,[88.97952]
2020-02-21 09:58:23,[116.518036]
2020-02-21 12:43:24,[115.15489]
2020-02-21 21:18:24,[116.0459]
2020-02-21 21:23:24,[118.48555]
2020-02-21 21:28:24,[107.04619]
2020-02-21 21:33:24,[116.56431]
2020-02-21 22:13:23,[128.82207]
2020-02-21 22:18:24,[126.954285]
2020-02-21 22:23:24,[106.852516]
2020-02-21 22:28:23,[122.01145]
2020-02-21 22:33:23,[120.40681]
2020-02-21 22:38:23,[106.0707]
2020-02-21 22:43:23,[131.78288]
2020-02-21 22:48:23,[116.93142]
2020-02-21 22:53:24,[121.1702]
2020-02-21 22:58:24,[117.20554]
2020-02-21 23:03:24,[116.848694]
2020-02-21 23:08:24,[134.7508]
2020-02-21 23:13:24,[106.76974]
2020-02-21 23:18:23,[116.98163]
2020-02-21 23:23:23,[126.63791]
2020-02-21 23:28:23,[118.01612]
2020-02-21 23:33:23,[126.65341]
2020-02-21 23:38:24,[123.05067]
2020-02-21 23:43:23,[115.41009]
2020-02-21 23:48:23,[128.78615]
2020-02-21 23:53:23,[124.30061]
2020-02-21 23:58:23,[123.047844]
2020-02-22 00:03:23,[100.19465]
2020-02-22 00:08:24,[103.36171]
2020-02-22 00:13:23,[94.017136]
2020-02-22 00:23:23,[133.66856]
2020-02-22 00:28:23,[136.95459]
2020-02-22 00:33:24,[134.84691]
2020-02-22 00:38:23,[137.75272]
2020-02-22 00:43:23,[111.18392]
2020-02-22 00:48:24,[130.57278]
2020-02-22 00:53:23,[125.76008]
2020-02-22 00:58:24,[128.50021]
2020-02-22 01:03:24,[118.1412]
2020-02-22 01:13:24,[79.00894]
2020-02-22 01:18:24,[106.33725]
2020-02-22 01:23:24,[86.82833]
2020-02-22 01:28:24,[127.101616]
2020-02-22 01:33:24,[126.38264]
2020-02-22 01:38:24,[125.22946]
2020-02-22 01:43:24,[94.641205]
2020-02-22 01:48:24,[118.38758]
2020-02-22 01:53:24,[93.9264]
2020-02-22 01:58:23,[86.423836]
2020-02-22 02:03:24,[114.21362]
2020-02-22 02:08:24,[95.64792]
2020-02-22 02:13:24,[112.17127]
2020-02-22 02:18:23,[117.8344]
2020-02-22 02:23:24,[122.014336]
2020-02-22 02:28:23,[125.30828]
2020-02-22 02:33:24,[129.87408]
2020-02-22 02:38:24,[105.10543]
2020-02-22 02:43:23,[111.382835]
2020-02-22 02:48:23,[126.598915]
2020-02-22 02:53:24,[123.43848]
2020-02-22 03:33:23,[101.24797]
2020-02-22 03:38:23,[96.44753]
2020-02-22 03:43:24,[124.14027]
2020-02-22 03:48:23,[114.79717]
2020-02-22 03:53:23,[112.40849]
2020-02-22 03:58:23,[89.90148]
2020-02-22 04:03:23,[115.516975]
2020-02-22 04:18:24,[131.35757]
2020-02-22 04:23:23,[102.045784]
2020-02-22 04:28:24,[127.20041]
2020-02-22 04:38:24,[111.18251]
2020-02-22 04:43:24,[114.56113]
2020-02-22 04:48:24,[113.19792]
2020-02-22 04:53:24,[107.580376]
2020-02-22 04:58:24,[112.301346]
2020-02-22 05:33:24,[104.35869]
2020-02-22 05:43:23,[128.16533]
2020-02-22 05:48:23,[124.802216]
2020-02-22 05:58:23,[126.656975]
2020-02-22 06:03:24,[122.442535]
2020-02-22 06:08:24,[121.669]
2020-02-22 06:13:24,[122.75094]
2020-02-22 06:18:23,[124.60212]
2020-02-22 06:23:24,[127.16011]
2020-02-22 06:28:24,[124.17914]
